config,model,num_speakers,instances_per_speaker,avg_inter_cluster_dist,avg_intra_cluster_spread,separation_score,overlap_score,silhouette_score
5s_40i,mel_band_low,5,40,5.7418785,1.5842355,3.6243820490339163,0.015,0.48930594325065613
5s_40i,mel_band_high,5,40,4.4372783,1.6955122,2.617070946237786,0.04,0.32052743434906006
5s_40i,mel_band_mid,5,40,3.4983604,1.3761641,2.542108101380233,0.085,0.2748255133628845
40s_5i,mfcc,40,5,0.83331877,0.16371325,5.090080963140486,0.825,-0.39384135603904724
40s_5i,mel_band_low,40,5,5.060363,1.2609427,4.013155246970499,0.15,0.16830258071422577
40s_5i,mel_band_high,40,5,4.428002,1.3179659,3.3597217030122692,0.11,0.14924877882003784
40s_5i,mel_band_mid,40,5,3.249846,1.1336439,2.866723151363571,0.24,0.014973651617765427
60s_10i,mfcc,60,10,0.83650786,0.17973307,4.6541419070593735,0.8866666666666667,-0.3897808790206909
60s_10i,mel_band_low,60,10,4.9727273,1.3131694,3.7868104928347215,0.18,0.1488639861345291
60s_10i,mel_band_high,60,10,4.297666,1.3981227,3.0738812097893016,0.17833333333333334,0.10196630656719208
60s_10i,mel_band_mid,60,10,3.118808,1.2050214,2.5881743603095564,0.365,-0.004063187632709742
80s_5i,mfcc,80,5,0.8481065,0.16886269,5.022432743121435,0.905,-0.4918617904186249
80s_5i,mel_band_low,80,5,4.8174734,1.2331259,3.9067133428375103,0.17,0.0929039791226387
80s_5i,mel_band_high,80,5,4.7325196,1.333877,3.5479404729468857,0.1625,0.09874487668275833
80s_5i,mel_band_mid,80,5,3.3136246,1.1297687,2.9330088554903955,0.33,-0.025737881660461426
5s_5i,mfcc,5,5,1.1174495,0.12124393,9.216463810467847,0.2,0.2923189401626587
5s_5i,mel_band_low,5,5,6.054787,1.2678291,4.7757087857010685,0.0,0.5111436247825623
5s_5i,mel_band_high,5,5,4.7394376,1.4732081,3.2170841717311576,0.04,0.3501507043838501
5s_5i,mel_band_mid,5,5,3.4355812,1.2048485,2.8514608070932472,0.04,0.2863946557044983
40s_10i,mfcc,40,10,0.82274216,0.18134563,4.536848460061477,0.8625,-0.34403979778289795
40s_10i,mel_band_low,40,10,5.0675325,1.3208473,3.836574301108398,0.155,0.17960253357887268
40s_10i,mel_band_high,40,10,4.331641,1.392653,3.110349902545357,0.1275,0.1493149697780609
40s_10i,mel_band_mid,40,10,3.2349443,1.2403653,2.6080557252761025,0.3125,0.030765680596232414
80s_1i,mfcc,80,1,0.87404335,0.0,874043.345451355,0.0,
80s_1i,mel_band_low,80,1,5.196082,0.0,5196082.11517334,0.0,
80s_1i,mel_band_high,80,1,5.1631637,0.0,5163163.661956787,0.0,
80s_1i,mel_band_mid,80,1,3.790348,0.0,3790348.0529785156,0.0,
5s_1i,mfcc,5,1,1.1378939,0.0,1137893.9151763916,0.0,
5s_1i,mel_band_low,5,1,6.962306,0.0,6962306.022644043,0.0,
5s_1i,mel_band_high,5,1,5.208913,0.0,5208912.8494262695,0.0,
5s_1i,mel_band_mid,5,1,4.2816133,0.0,4281613.349914551,0.0,
20s_60i,mfcc,20,60,0.7922999,0.1912427,4.1428812954214544,0.735,-0.18920360505580902
20s_60i,mel_band_low,20,60,5.6149,1.5994198,3.5105833305452534,0.11166666666666666,0.25060588121414185
20s_60i,mel_band_high,20,60,4.6291723,1.585737,2.9192542238376533,0.075,0.2414253205060959
20s_60i,mel_band_mid,20,60,3.5248125,1.4191796,2.483695565165045,0.25333333333333335,0.09973101317882538
2s_40i,mfcc,2,40,1.3191621,0.21529467,6.1272115022504625,0.0375,0.7428827881813049
2s_40i,mel_band_low,2,40,6.605365,1.9269537,3.427877619961075,0.0,0.6104156374931335
2s_40i,mel_band_high,2,40,6.5528116,2.0676699,3.1691753859601848,0.0,0.574962317943573
2s_40i,mel_band_mid,2,40,5.0484767,1.6003497,3.15460655430683,0.0,0.5738016963005066
20s_80i,mfcc,20,80,0.7986164,0.18796107,4.248816806245799,0.739375,-0.18131448328495026
20s_80i,mel_band_low,20,80,5.6058464,1.5860565,3.5344535163349966,0.106875,0.25517329573631287
